xy_1,xy_2,fingerprint_1,fingerprint_2,fingerprint_3,fingerprint_4,fingerprint_5,fingerprint_6,fingerprint_7,fingerprint_8,fingerprint_9,fingerprint_10,fingerprint_11,fingerprint_12,fingerprint_13,fingerprint_14,fingerprint_15,fingerprint_16,fingerprint_17,fingerprint_18,fingerprint_19,fingerprint_20,fingerprint_21,fingerprint_22,fingerprint_23,fingerprint_24,fingerprint_25
0,0,0,0,-80.38125,-68.169014084507,-85.8123953098827,-81.6357723577236,0,0,-92.0570719602978,0,-70.9636075949367,-90.2991304347826,-91.8386411889597,0,0,0,0,0,-97.7959183673469,-97.0294117647059,0,0,0,0,-84.2151394422311
0,2,0,0,-80.8870292887029,-75.2133891213389,-81.165,-73.6388261851016,0,0,-88.708830548926,0,-71.7732426303855,-91.1928571428571,-92.9615384615385,0,0,0,0,0,-97.3125,-90.4950819672131,0,0,0,-100.5,-90.6688102893891
0,4,0,0,-82.541095890411,-76.1632302405498,-75.4933110367893,-76.4215017064846,0,-99.0909090909091,-87.5856873822976,0,-70.9179487179487,-89.6704761904762,-84.9357142857143,0,0,0,0,0,-97.7985074626866,-83.828813559322,0,0,0,0,-83.7775862068966
0,6,0,0,-82.5855072463768,-74.0962025316456,-80.230352303523,-79.2715053763441,0,0,-94.3283582089552,0,-77.0462287104623,-91.5,-92.8266666666667,0,0,0,0,0,-97.2844036697248,-87.0664652567976,0,0,0,0,-87.954954954955
0,8,0,0,-83.1845425867508,-73.2797704447633,-85.8558951965066,-73.5281582952816,0,0,-93.3816425120773,0,-78.739932885906,-90.9038112522686,-87.7933579335793,0,0,0,0,0,0,-95.0448717948718,0,0,0,0,-84.5254515599343
0,10,0,0,-85.4121122599705,-72.7379209370425,-93.4858611825193,-79.5121580547113,0,0,-98.9615384615385,0,-86.5144927536232,-89.083850931677,-90.0865051903114,0,0,0,0,0,0,0,0,0,0,0,-93.1594488188976
0,12,0,0,-86.9117647058823,-74.7879924953096,-92.1232876712329,-74.8446215139442,0,0,-97.7857142857143,0,-81.0778588807786,-84.3690721649484,-91.2109589041096,0,0,0,0,0,0,-96,0,0,0,0,-85.9942307692308
0,14,0,0,-93.735883424408,-77.5923664122137,-95.9441747572816,-80.0032102728732,0,0,-100,0,-86.5555555555556,-91.283422459893,-83.8801843317972,0,0,0,0,0,0,0,0,0,0,0,-90.5636672325976
0,16,0,0,-90.5116822429907,-75.2560175054705,-93.4173553719008,-80.8322440087146,0,0,0,0,-85.6681818181818,-88.2768878718535,-86.7634730538922,0,0,0,0,0,0,0,0,0,0,0,-88.09977827051
0,18,0,0,-96.0585106382979,-73.7342465753425,-91.0477178423236,-78.3125904486252,0,0,0,0,-86.9022900763359,-91.7185501066098,-85.7755681818182,0,0,0,0,0,0,0,0,0,0,0,-93.9249084249084
0,20,0,0,-95.0544041450777,-75.3357452966715,-94.3688118811881,-74.5200573065903,0,0,0,0,-82.1843575418994,-90.8755186721992,-86.7771084337349,0,0,0,0,0,0,0,0,0,0,0,-90.1030110935024
0,22,0,0,-93.7574257425743,-80.6672967863894,-100.428571428571,-66.1442307692308,0,0,0,0,-89.0148619957537,-92.7315010570825,-90.75,0,0,0,0,0,0,0,0,0,0,0,-95.9763779527559
0,24,0,0,-95.540206185567,-80.8717201166181,-97.9722222222222,-68.4688856729378,0,0,0,0,-86.9054982817869,-87.8638426626324,-92.8514851485149,0,0,0,0,0,0,0,0,0,0,0,-94.328125
0,26,0,0,-93.4965517241379,-77.6807610993658,-96.6911764705882,-74.7357293868922,0,0,0,0,-90.1803713527851,-91.0247933884298,-90.3854625550661,0,0,0,0,0,0,0,0,0,0,0,-91.0196078431373
0,28,0,0,-94.4159292035398,-81.7033112582781,0,-72.0726783310902,0,0,0,0,-93.1932773109244,-84.779020979021,-90.0739219712526,0,0,0,0,0,0,0,0,0,0,0,-94.6864406779661
0,30,0,0,-94.3262411347518,-83.9732142857143,-95.5333333333333,-65.5823699421965,0,0,0,0,-94.2652631578947,-83.4170403587444,-90.1109057301294,0,0,0,0,0,0,0,0,0,0,0,-92.0967741935484
0,32,0,0,-96.5416666666667,-81.7513711151737,-98.5,-74.1043643263757,0,0,0,0,-90.9399141630901,-85.4788461538461,-88.5275362318841,0,0,0,0,0,0,0,0,0,0,0,-92.1643564356436
0,34,0,0,-95.7935483870968,-81.1189801699717,0,-74.9419889502762,0,0,-99,0,-90.3371212121212,-86.7838983050847,-91.2131147540984,0,0,0,0,0,0,0,0,0,0,0,-91.1255813953488
0,36,0,0,-95.1855670103093,-84.051724137931,0,-79.2907662082515,0,0,0,0,-92.420253164557,-84.1055555555556,-88.9587912087912,0,0,0,0,0,0,0,0,0,0,0,-95.9694323144105
0,38,0,0,-94.5017543859649,-78.722433460076,-98.7826086956522,-72.212,0,0,0,0,-88.5454545454545,-86.7183544303797,-90.5712309820194,0,0,0,0,0,0,0,0,0,0,0,-95.6292682926829
