objloc,rss,time,beacon
180000,-64,1590521727725,20
180000,-75,1590521727777,19
180000,-64,1590521727830,20
180000,-80,1590521727868,9
180000,-88,1590521727873,5
180000,-74,1590521727894,19
180000,-63,1590521727934,20
180000,-86,1590521727993,5
180000,-74,1590521727996,19
180000,-63,1590521728040,20
180000,-82,1590521728068,9
180000,-74,1590521728097,19
180000,-103,1590521728112,1
180000,-63,1590521728145,20
180000,-81,1590521728174,9
180000,-75,1590521728195,19
180000,-63,1590521728247,20
180000,-82,1590521728302,9
180000,-76,1590521728305,19
180000,-84,1590521728308,5
180000,-97,1590521728330,1
180000,-61,1590521728362,20
180000,-81,1590521728398,9
180000,-84,1590521728402,5
180000,-76,1590521728405,19
180000,-64,1590521728462,20
180000,-77,1590521728512,19
180000,-63,1590521728568,20
180000,-78,1590521728598,9
180000,-86,1590521728627,5
180000,-65,1590521728672,20
180000,-77,1590521728700,9
180000,-97,1590521728715,11
180000,-88,1590521728720,5
180000,-64,1590521728776,20
180000,-78,1590521728812,9
180000,-96,1590521728829,11
180000,-73,1590521728833,19
180000,-88,1590521728837,5
180000,-65,1590521728888,20
180000,-79,1590521728912,9
180000,-96,1590521728923,11
180000,-77,1590521728937,19
180000,-87,1590521728941,5
180000,-65,1590521728989,20
180000,-78,1590521729013,9
180000,-77,1590521729032,19
180000,-87,1590521729035,5
180000,-97,1590521729060,1
180000,-65,1590521729120,20
180000,-80,1590521729123,9
180000,-80,1590521729149,19
180000,-88,1590521729154,5
180000,-98,1590521729180,1
180000,-65,1590521729204,20
180000,-80,1590521729230,9
180000,-77,1590521729247,19
180000,-95,1590521729273,1
180000,-66,1590521729314,20
180000,-80,1590521729338,9
180000,-89,1590521729364,5
180000,-77,1590521729370,19
180000,-99,1590521729391,1
180000,-66,1590521729410,20
180000,-80,1590521729438,9
180000,-87,1590521729464,5
180000,-76,1590521729467,19
180000,-96,1590521729490,1
180000,-65,1590521729522,20
180000,-79,1590521729554,9
180000,-76,1590521729559,19
180000,-88,1590521729581,5
180000,-96,1590521729600,1
180000,-66,1590521729634,20
180000,-80,1590521729661,9
180000,-76,1590521729665,19
180000,-88,1590521729682,5
180000,-95,1590521729702,1
180000,-81,1590521729756,9
180000,-99,1590521729780,11
180000,-75,1590521729785,19
180000,-82,1590521729790,5
180000,-97,1590521729808,1
180000,-65,1590521729834,20
180000,-83,1590521729873,9
180000,-96,1590521729876,11
180000,-75,1590521729900,19
180000,-84,1590521729904,5
180000,-97,1590521729907,1
180000,-65,1590521729931,20
180000,-84,1590521729965,9
180000,-97,1590521729982,11
180000,-86,1590521729989,5
180000,-76,1590521729992,19
180000,-97,1590521730014,1
180000,-66,1590521730065,20
180000,-82,1590521730083,9
180000,-84,1590521730089,5
180000,-77,1590521730115,19
180000,-98,1590521730119,1
180000,-65,1590521730141,20
180000,-81,1590521730182,9
180000,-84,1590521730187,5
180000,-75,1590521730200,19
180000,-96,1590521730217,1
180000,-66,1590521730249,20
180000,-76,1590521730282,9
180000,-89,1590521730286,5
180000,-77,1590521730300,19
180000,-99,1590521730322,1
180000,-65,1590521730349,20
180000,-80,1590521730391,9
180000,-87,1590521730400,5
180000,-77,1590521730415,19
180000,-64,1590521730465,20
180000,-83,1590521730487,9
180000,-88,1590521730492,5
180000,-102,1590521730518,11
180000,-77,1590521730522,19
180000,-81,1590521730591,9
180000,-83,1590521730595,5
180000,-80,1590521730618,19
